Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаповал,Станіслав,Демʼянович,Чоловіча,1939-03-23,Прокурор,село Старий Самбір,"вулиця Юннатів 1-й, буд. 11, Одеса, 36441",243-54-21,szakusylo@example.net
Гузій,Нестор,Орхипович,Чоловіча,1966-04-26,Хореограф,село Феодосія,"сквер Лядова, буд. 19 кв. 690, Радехів, 18689",041 917 40 19,xpylypenko@example.org
Петлюра,Сергій,Олесьович,Чоловіча,1974-10-27,Секретар,селище Дніпро ,"площа Польовий 1-й, буд. 899 кв. 26, Первомайський , 32896",+380 69 839-41-85,ievhenfomenko@example.net
Тягнибок,Тарас,Симонович,Чоловіча,1951-03-09,Акушер,місто Курахове,"вулиця Олександра Невського, буд. 20 кв. 844, Славутич, 81486",001 406 65 82,liudmyla43@example.com
Дерегус,Демʼян,Максимович,Чоловіча,1958-10-21,Парфюмер,селище Виноградів,"сквер Єлисаветградський, буд. 54, Золочів, 91666",236 92 13,shamraieduard@example.net
Заєць,Омелян,Русланович,Чоловіча,1959-10-19,Філолог,місто Федорівка,"площа Космонавтів, буд. 08 кв. 20, Білицьке, 84123",062 597 94 08,lytvynenkoolena@example.net
Савенко,Едуард,Зорянович,Чоловіча,2006-01-03,Біолог,село Кадіївка,"проспект Миколи Вороного, буд. 86, Сніжне, 30871",026 164-39-59,ostap45@example.org
Демʼянчук,Костянтин,Геннадійович,Чоловіча,2004-05-20,Психолог,селище Бережани,"вулиця Вітчизняна, буд. 9, Селидове, 74707",+380 (76) 537-99-71,demyd96@example.com
Скорик,Демид,Русланович,Чоловіча,1985-08-10,Промисловець,місто Баранівка,"провулок Молодіжна, буд. 311, Тростянець, 74572",+380 79 810-93-92,levkoiurchyshyn@example.net
Архипенко,Соломон,Богданович,Чоловіча,1968-12-16,Кінорежисер,селище Ладижин,"шосе Митна, буд. 597 кв. 00, Дубляни, 84029",006 284 78 08,zshchyrytsia@example.com
Швайка,Азар,Гордійович,Чоловіча,1991-03-07,Агроном,хутір Федорівка,"шосе Юрія Олеші, буд. 02 кв. 563, Ірміно, 76114",232 65 12,oviter@example.org
Бгиденко,Мирон,Олексович,Чоловіча,1953-07-20,Золотар,селище Золочів,"вулиця Ушинського, буд. 316, Золотоноша, 94085",+380 (23) 099-61-24,bebeshkoruslan@example.net
Шаблій,Хома,Тарасович,Чоловіча,2003-05-03,Електрослюсар,хутір Добропілля,"сквер 8-ма Суворовська, буд. 4, Ворожба, 30201",111-76-22,gustenko@example.org
Литвиненко,Станіслав,Зиновійович,Чоловіча,1986-02-25,Соціолог,місто Карлівка,"шосе Заньковецької, буд. 330, Ходорів, 86023",+380 (84) 052-11-73,iaroslav43@example.org
Демиденко,Мирон,Демʼянович,Чоловіча,1965-03-01,Золотар,селище Городище ,"проспект Геологічна, буд. 03 кв. 397, Сокаль, 09305",877 79 85,iakymenkosviatoslav@example.com
Башполченко,Вʼячеслав,Вʼячеславович,Чоловіча,1994-05-15,Драматург,селище Середина-Буда,"набережна Академіка Вавилова, буд. 57, Гайворон, 11538",+380 (11) 704-61-98,rvdovenko@example.org
Цимбал,Стефан,Валерійович,Чоловіча,1965-06-17,Менеджер,село Монастириська,"сквер Буніна, буд. 3 кв. 4, Олександрівськ, 66594",611-83-15,averchenkomariia@example.com
Фурс,Аврелій,Арсенович,Чоловіча,1967-02-14,Літературознавець,селище Бершадь,"провулок Сурикова 1-й, буд. 328, Березань , 38977",+380 17 244 70 06,ckybkalo@example.com
Петрик,Остап,Мирославович,Чоловіча,2005-10-11,Футболіст,селище Лисичанськ,"проспект Омська, буд. 059 кв. 417, Брянка, 12526",+380 (09) 256-40-01,vira95@example.net
Бандура,Борислав,Зиновійович,Чоловіча,1949-01-27,Дерун,хутір Перемишляни,"узвіз Ямська, буд. 90, Корюківка, 98179",135-47-92,jshyian@example.net
Девдюк,Святослав,Пилипович,Чоловіча,1988-07-16,Випробувач,хутір Красилів,"сквер Моторний 1-й, буд. 7, Тульчин, 12517",004 274-89-28,orest37@example.net
Тарасенко,Микита,Лукʼянович,Чоловіча,1962-12-05,Професор,хутір Дубровиця,"набережна Артилерійський 2-й, буд. 64 кв. 384, Олександрія, 56853",+380 36 670-59-29,tsymbalroman@example.org
Пелех,Орхип,Костянтинович,Чоловіча,1976-11-20,Промисловець,село Деражня,"сквер Маковий, буд. 704, Чорноморськ, 26981",068 674 88 20,yshvedchenko@example.com
Вахній,Геннадій,Йосипович,Чоловіча,1961-12-31,Редактор,село Гірник ,"набережна Москвіна, буд. 7 кв. 5, Радомишль, 05563",582-96-66,parmen98@example.com
Гресь,Михайло,Демʼянович,Чоловіча,1945-04-24,Будник,селище Білицьке,"площа Дігтярна, буд. 35, Бахмач, 23738",+380 06 630-16-60,kyrylo20@example.org
Оберемко,Азар,Демʼянович,Чоловіча,1961-12-02,Круп'є,місто Сарни,"проспект Нескучна, буд. 75 кв. 297, Василівка , 69563",+380 08 153-43-21,fnesterenko@example.net
Ребрик,Семен,Степанович,Чоловіча,1984-05-09,Літературознавець,селище Щолкіне,"провулок Амурський 1-й, буд. 98, Берегове, 16808",+380 15 087 53 33,chalenkookseniia@example.org
Гузь,Петро,Микитович,Чоловіча,1992-02-21,Пілот,хутір Вижниця,"шосе Суднобудівна, буд. 2, Дубровиця, 95424",+380 85 797 25 08,verkhovynetsanastasiia@example.com
Гречко,Давид,Теодорович,Чоловіча,1998-03-17,Мовознавець,село Первомайськ,"узвіз Офіцерський 1-й, буд. 86, Хмільник, 57515",092 129-56-40,chubaiherman@example.net
Луценко,Михайло,Григорійович,Чоловіча,1946-12-14,Астроном,місто Олександрівськ,"сквер Супутників, буд. 80, Іллінці, 21222",+380 89 526-53-55,yderevianko@example.net
Овсієнко,Зорян,Леонідович,Чоловіча,1983-07-01,Диригент,селище Любомль,"проспект Благовидової, буд. 72 кв. 642, Буськ, 61813",391-14-80,hanna67@example.org
Їжакевич,Азар,Пилипович,Чоловіча,1965-07-29,Золотар,селище Чортків,"шосе Саксаганського, буд. 413 кв. 66, Славутич, 03045",+380 (78) 550-14-76,mazepaherman@example.com
Ящук,Симон,Опанасович,Чоловіча,2005-02-18,Драматург,хутір Мерефа,"парк Дунаєвського 3-й, буд. 9, Нововолинськ, 35246",043 260-11-72,hennadii45@example.com
Верменич,Андрій,Августинович,Чоловіча,1978-08-30,Лікар,село Городня,"набережна Урожайна, буд. 835 кв. 9, Краматорськ, 43876",+380 71 244-78-94,hvakarchuk@example.com
Радченко,Пармен,Миколайович,Чоловіча,1978-04-13,Секретар,місто Амвросіївка,"проспект Марії Демченко, буд. 7 кв. 99, Перевальськ, 46587",+380 04 049-15-76,redkoivan@example.com
Гунько,Тимофій,Тарасович,Чоловіча,1969-12-16,Кінорежисер,селище Єнакієве,"набережна Новоселів, буд. 97 кв. 7, Татарбунари, 68736",028 390-57-06,iakivievdokymenko@example.org
Козаченко,Михайло,Яремович,Чоловіча,1949-12-28,Композитор,селище Вознесенівка,"набережна Купріна, буд. 5 кв. 5, Богодухів, 54950",+380 (47) 581-48-11,danylomalyk@example.net
Заїка,Олесь,Орестович,Чоловіча,1995-01-24,Детектив,місто Сокаль,"сквер Івасюка Володимира, буд. 3 кв. 32, Арциз, 66656",+380 (68) 030-77-55,lizazasukha@example.com
Ісаєвич,Яків,Олегович,Чоловіча,1964-06-21,Науковець,місто Прип'ять ,"набережна Єлісаветинська, буд. 874, Кодима, 18306",045 326 62 82,rudykkhrystyna@example.org
Христенко,Герман,Антонович,Чоловіча,1940-03-15,Гірничий інженер,село Вознесенівка,"вулиця Миколаївський 1-й, буд. 33, Сватове, 33500",064 077 92 90,mhavrylets@example.org
Шухевич,Зорян,Богданович,Чоловіча,1974-08-19,Живописець,хутір Радехів,"шосе Ф. Пішеніна, буд. 94, Монастириська, 91021",+380 59 433-43-93,mhuz@example.org
Іщенко,Феофан,Адамович,Чоловіча,1952-09-26,Хімік,місто Полонне,"шосе Туристська, буд. 372 кв. 4, Рівне, 65198",248-80-87,adaliashko@example.net
Вернидуб,Руслан,Едуардович,Чоловіча,1997-02-21,Льотчик,хутір Заводське,"набережна Утьосова, буд. 7 кв. 258, Мукачево, 74604",+380 95 824 50 86,gderevianko@example.org
Джус,Мирослав,Іванович,Чоловіча,1965-07-06,Водій,село Дніпрорудне,"провулок Щоглова, буд. 6 кв. 7, Тлумач, 80108",+380 49 505-53-26,taras63@example.net
Симоненко,Зорян,Арсенович,Чоловіча,1961-02-25,Ґрунтознавець,селище Богуслав,"парк Проектна 2-га, буд. 5 кв. 54, Кобеляки, 41552",049 262 13 04,wlytvynenko@example.net
Шаблій,Аврелій,Геннадійович,Чоловіча,1959-09-03,Модельєр,хутір Городенка,"вулиця Собінова, буд. 883, Київ, 66576",016 272-89-41,bohdan29@example.org
Салій,Володимир,Мирославович,Чоловіча,1998-06-28,Астрофізик,хутір Охтирка,"набережна Ланжеронівський узвіз, буд. 0 кв. 80, Старобільськ, 96367",084 916 26 58,vkarmaliuk@example.com
Ванченко,Олесь,Макарович,Чоловіча,1970-07-30,Футболіст,село Чернівці,"шосе Лінія 51-ша, буд. 62, Золотоноша, 18355",341 27 45,tereza31@example.org
Бабʼяк,Данило,Романович,Чоловіча,1971-01-29,Візажист,хутір Тальне,"проспект Зої Космодем’янської, буд. 86, Молодогвардійськ, 36594",751-19-76,boleslav02@example.net
Башполченко,Андрій,Вадимович,Чоловіча,2000-02-13,Стоматолог,селище Золочів,"шосе Бабеля, буд. 96 кв. 1, Івано-Франківськ, 83346",+380 21 319 59 91,davyd42@example.net
Тесленко,Вадим,Богодарович,Чоловіча,1984-05-08,Ріелтор,селище Жмеринка,"парк Літературна, буд. 402 кв. 6, Вугледар, 60316",038 961-11-99,iryna10@example.com
Чарниш,Теодор,Микитович,Чоловіча,1962-01-18,Ріелтор,село Чортків,"площа Вокзальна, буд. 132, Здолбунів, 07606",+380 99 342 02 83,averchenkoboryslav@example.com
Бабʼяк,Онисим,Федорович,Чоловіча,1990-11-14,Кінорежисер,місто Бахмач,"вулиця Мала Арнаутська, буд. 85 кв. 445, Мала Виска, 59599",060 768 72 48,bchubai@example.net
Шморгун,Юстим,Захарович,Чоловіча,1975-03-12,Візажист,хутір Бобринець,"парк Аеропортівська, буд. 67 кв. 034, Чернігів, 40214",083 610 12 56,vasylyna47@example.net
Самойленко,Феофан,Олексович,Чоловіча,1998-12-02,Музикант,селище Теплодар,"проспект Офіцерський 2-й, буд. 120 кв. 4, Боково-Хрустальне, 90141",020 322 88 58,mdurdynets@example.com
Дацюк,Гліб,Станіславович,Чоловіча,1957-03-01,Актор,місто Чугуїв,"площа Пересипський 1-й, буд. 2 кв. 56, Миколаїв, 19768",+380 66 242-51-82,stepan69@example.org
Чумаченко,Левко,Андрійович,Чоловіча,1979-04-19,Промисловець,хутір Білогірськ,"парк Кришталева, буд. 909, Горлівка, 49760",+380 (43) 549-55-39,bashtanpetro@example.net
Таран,Леон,Макарович,Чоловіча,2006-02-04,Круп'є,селище Херсон,"набережна Бодаревського, буд. 1, Кадіївка, 32077",+380 (45) 585-71-30,iustym48@example.com
Олійник,Симон,Гордійович,Чоловіча,1986-09-21,Машиніст,хутір Ходорів,"узвіз Чубаївський, буд. 3, Макіївка, 02067",+380 58 018-30-00,solomondavymuka@example.net
Єрьоменко,Георгій,Васильович,Чоловіча,1954-12-06,Історик,хутір Красноперекопськ,"парк Іванівська, буд. 526, Кипуче, 39074",+380 (35) 389-00-28,ievhenprymachenko@example.com
Шеремет,Ілля,Демидович,Чоловіча,1969-09-01,Продюсер,село Балта,"проспект Бокаріуса Миколи, буд. 42 кв. 347, Полонне, 07248",842 32 16,edyta73@example.org
Чорновіл,Азар,Павлович,Чоловіча,1967-01-02,Фармацевт,місто Моспине,"вулиця Жаботинського, буд. 060 кв. 064, Костянтинівка, 28158",997-41-48,telychenkoheorhii@example.org
Чубай,Лесь,Ігорович,Чоловіча,1940-04-30,Кур'єр,хутір Вінниця,"проспект Планетна, буд. 2 кв. 3, Болехів, 96117",268-72-57,dannastus@example.com
Микитюк,Костянтин,Миколайович,Чоловіча,2006-04-19,Машиніст,хутір Новоукраїнка,"узвіз Естонський, буд. 4, Біла Церква, 99255",021 343 79 71,violetta48@example.net
Ісаєнко,Аврелій,Сергійович,Чоловіча,2008-05-30,Вчитель,місто Вознесенівка,"вулиця Вапняна, буд. 985, Рава-Руська, 27225",060 916-38-92,amvrosii52@example.com
Дрозд,Леон,Гордійович,Чоловіча,1945-10-13,Інженер,селище Генічеськ,"проспект Херсонський, буд. 014 кв. 64, Євпаторія, 47992",+380 25 679-66-74,shukhevychielysei@example.com
Журба,Йосип,Веніяминович,Чоловіча,2005-01-07,Ювелір,село Новодружеськ,"проспект Нафтовиків, буд. 44, Старокостянтинів, 31241",986-39-98,iaremaaleksiuk@example.net
Чуприна,Макар,Єфремович,Чоловіча,1956-01-29,Паралегал,хутір Узин,"провулок Трояндова, буд. 44 кв. 60, Бершадь, 38855",+380 31 147-70-56,zlatoslavaiakovenko@example.com
Орлик,Климент,Семенович,Чоловіча,1960-11-23,Машиніст,місто Середина-Буда,"узвіз Складська, буд. 81, Шахтарськ, 24826",069 720-05-39,teodor51@example.org
Оробець,Йосип,Варфоломійович,Чоловіча,2000-07-08,Письменник,селище Березне,"сквер Рибальський, буд. 0 кв. 8, Євпаторія, 35096",+380 81 177-16-04,dan37@example.org
Жайворон,Мирослав,Альбертович,Чоловіча,1981-08-10,Детектив,селище Гнівань,"вулиця Агрономічна, буд. 635 кв. 82, Немирів, 49086",091 529 72 89,sdrobiazko@example.com
Михайлюк,Геннадій,Сергійович,Чоловіча,1965-11-16,Кур'єр,хутір Кодима,"вулиця Обривиста, буд. 3, Сніжне, 31459",030 562 32 21,echornovil@example.net
Височан,Володимир,Кирилович,Чоловіча,1979-05-16,Науковець,хутір Житомир,"шосе Прохоровський, буд. 450 кв. 540, Ізмаїл, 74076",131-37-73,mariiatereshchenko@example.net
Дурдинець,Опанас,Станіславович,Чоловіча,2005-11-09,Кінокритик,село Вовчанськ,"узвіз Варненська, буд. 12, Слов'янськ, 02774",+380 60 542-84-46,volodymyr92@example.com
Назаренко,Віталій,Пилипович,Чоловіча,1994-03-25,Реставратор,селище Гнівань,"парк Туристський, буд. 8, Жовква, 80368",+380 59 329-24-03,pavlo66@example.org
Лупій,Олег,Вікторович,Чоловіча,1988-12-23,Електрик,місто Соледар,"парк Марата, буд. 576 кв. 84, Стрий, 36971",+380 (18) 840-24-69,tarashrechko@example.com
Вернигора,Ростислав,Прохорович,Чоловіча,1965-09-27,Доцент,хутір Хорол ,"площа Восьмого березня 1-й, буд. 727 кв. 224, Ірпінь, 18607",262-22-04,datsiukomelian@example.com
Товстуха,Мирослав,Валерійович,Чоловіча,1970-06-28,Провізор,селище Ланівці,"площа Маловського, буд. 627, Прип'ять , 72513",+380 85 969 50 36,orkhypkhorishko@example.org
Дробʼязко,Спас,Микитович,Чоловіча,1954-01-14,Ґрунтознавець,селище Вилкове,"сквер Космонавта Комарова, буд. 649 кв. 5, Борщів, 72034",+380 90 616-42-24,stelmakheduard@example.net
Артимишин,Іван,Захарович,Чоловіча,1997-05-04,Електромонтажник,село Рахів,"узвіз Студентський 3-й, буд. 115, Сарни, 32406",034 798-72-77,khomavdovychenko@example.com
Талан,Зиновій,Альбертович,Чоловіча,2008-10-31,Психолог,селище Жмеринка,"набережна Героїв оборони Одеси, буд. 296, Дніпрорудне, 61428",278-59-74,pryimakoles@example.net
Худобʼяк,Леопольд,Григорійович,Чоловіча,1943-01-10,Стропальник,село Тернопіль,"сквер Тарутинська, буд. 06 кв. 544, Андрушівка, 29050",+380 80 488 99 16,boryslavandreiko@example.com
Артюх,Гаврило,Соломонович,Чоловіча,2000-08-26,Швачка,хутір Ковель,"проспект Літературна, буд. 330, Баранівка, 98473",+380 40 485-08-07,oadamchuk@example.net
Зінкевич,Олександр,Охрімович,Чоловіча,1994-05-25,Скульптор,село Рівне,"провулок Місячна, буд. 5, Федорівка, 28914",162 22 32,qokhrimenko@example.com
Матвієнко,Федір,Петрович,Чоловіча,1957-07-27,Няня,село Хоростків,"площа Сімферопольська, буд. 972, Курахове, 45894",+380 33 107-44-62,okseniia88@example.net
Гоголь-Яновський,Вʼячеслав,Остапович,Чоловіча,1971-10-13,Кіноактор,селище Миронівка,"площа Пересипська 10-та, буд. 900 кв. 00, Корюківка, 74695",637-17-63,iolifirenko@example.org
Саєнко,Сергій,Трохимович,Чоловіча,1944-06-05,Соціолог,місто Роздільна,"шосе Сурикова 2-й, буд. 326, Скадовськ, 36992",+380 72 001-97-10,kostiantynpetrenko@example.com
Лесик,Євген,Борисович,Чоловіча,1999-05-08,Парфюмер,хутір Березівка,"набережна Житомирська, буд. 70 кв. 3, Жашків, 35257",731-60-59,venedyktzaruba@example.com
Корбут,Ігнат,Зорянович,Чоловіча,1940-05-05,Філолог,хутір Заліщики,"узвіз Павла Кравцова, буд. 8, Гадяч, 55013",098 033 08 19,dvakulenko@example.net
Верхола,Назар,Пантелеймонович,Чоловіча,1969-09-03,Музичний редактор,селище Чортків,"набережна Вапняне селище, буд. 69, Жовква, 21180",+380 59 113-58-48,fedir69@example.net
Рябченко,Захар,Григорійович,Чоловіча,2000-03-13,Кінолог,селище Краматорськ,"шосе Онезька, буд. 9 кв. 93, Комарно, 59380",976-51-23,tsymbalzorian@example.com
Вишиваний,Данило,Назарович,Чоловіча,1951-12-12,Кушнір,село Кадіївка,"вулиця Сирітський, буд. 6 кв. 8, Барвінкове, 08172",084 17 85,nestor11@example.net
Щербак,Дмитро,Тимофійович,Чоловіча,2004-02-04,Гірник,селище Дубляни,"набережна Колекційна, буд. 78, Дунаївці, 08267",+380 81 763 36 79,ktkachenko@example.com
Аронець,Григорій,Леопольдович,Чоловіча,1982-03-21,Кінорежисер,місто Мерефа,"провулок Танкерна, буд. 9, Таврійськ, 23703",+380 (45) 063-69-17,rozaliiaopanasenko@example.org
Ребрик,Ігнат,Климентович,Чоловіча,1948-10-31,Євнух,місто Бобровиця,"вулиця Травневий 4-й, буд. 20 кв. 580, Новий Розділ, 60287",039 044 53 13,shcherbanliliia@example.com
Чумак,Лесь,Станіславович,Чоловіча,1951-12-20,Пілот,місто Кіцмань,"провулок Композитора Глинки, буд. 00 кв. 6, Хорол , 67954",007 270-60-60,ausyk@example.com
Атрощенко,Йосип,Данилович,Чоловіча,1946-04-18,Єгер,хутір Фастів,"узвіз 13-та ст. Великого Фонтану пляж, буд. 7 кв. 281, Вилкове, 55963",010 834-41-62,syrotenkoleonid@example.org
Ґоляш,Вʼячеслав,Петрович,Чоловіча,1983-10-12,Мовознавець,селище Обухів,"сквер Лиманний, буд. 453, Вільнянськ, 50768",619-23-30,marko10@example.org
Козак,Аркадій,Мартинович,Чоловіча,1977-02-28,Електрик,село Верхньодніпровськ,"шосе Альпіністів, буд. 79 кв. 404, Вугледар, 97279",019 165 83 85,illia57@example.org
Девдюк,Георгій,Володимирович,Чоловіча,1993-11-04,Ріелтор,хутір Нововолинськ,"проспект Михайла Жванецького, буд. 5, Луганськ, 64187",+380 (69) 753-36-59,itryhub@example.org
Романчук,Ярослав,Аврелійович,Чоловіча,1941-09-20,Секретар,хутір Корсунь-Шевченківський,"вулиця Мазараті, буд. 4 кв. 3, Молодогвардійськ, 78027",004 745 23 13,xdatsiuk@example.com
Лупій,Мирослав,Лукʼянович,Чоловіча,1942-06-03,Клавішник,місто Кролевець,"проспект Скляний 3-й, буд. 04, Ізяслав, 13612",640-22-28,ada24@example.net
Габелко,Ростислав,Данилович,Чоловіча,1999-09-15,Живописець,місто Овруч,"шосе Верф’яний, буд. 512, Миколаївка , 15524",000 054-86-60,pushkarvladyslav@example.net
Зарудний,Азар,Георгійович,Чоловіча,1968-11-03,Випробувач,село Рахів,"шосе Чапаєва, буд. 2, Бар, 13558",+380 (89) 789-23-75,iakymchukteodor@example.net
Стець,Устим,Гордійович,Чоловіча,1957-02-22,Стиліст,селище Южне,"проспект Балтський 5-й, буд. 65, Коростень, 04970",+380 80 159-15-55,hryhoriivovk@example.org
